text,text_clean,label,label_int,has_tamil_script,is_code_switched,text_length,word_count
Diwali annante aniyan ullaltha  Step back bigil,Diwali annante aniyan ullaltha Step back bigil,2,,False,False,46,7
Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,1,,False,True,73,10
Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,1,,False,False,83,11
dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢,dei kelthu kuthi ajith ivanya yaru nadika sona,1,,False,False,46,8
Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana...,1,,False,False,61,9
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines","Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu Superb lines",0,,False,False,151,19
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,Ethukkuda ivlo actors hypo...thalaivar padamna avar matumtha irukanum...,0,,False,False,72,8
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa... Thalaivaa...,0,,False,False,63,5
epdi like pottavan Eallarum seathupogada,epdi like pottavan Eallarum seathupogada,2,,False,False,40,5
சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.,சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100 true in the age information abundance and mass distractions.,0,,True,True,113,17
Supper dhanush Anna mass waiting asuran,Supper dhanush Anna mass waiting asuran,0,,False,False,39,6
Vera lvl thalaiva u r great,Vera lvl thalaiva u r great,0,,False,False,27,6
Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,1,,False,False,60,11
Sala kuch smjh nhi aaya pr mja aaya,Sala kuch smjh nhi aaya pr mja aaya,4,,False,False,35,8
Ellam avan sayal movie mathiriya irukku🤔,Ellam avan sayal movie mathiriya irukku,2,,False,False,39,6
Boss you looking so handsome ND young kekaa,Boss you looking so handsome ND young kekaa,0,,False,False,43,8
Pattaya kelapitey Siva!!!  Awesome!!!,Pattaya kelapitey Siva!!! Awesome!!!,2,,False,False,36,4
Dahaaaaaaa chitii come back I am waiting get ready to 2.0,Dahaaa chitii come back I am waiting get ready to 2.0,2,,False,False,53,11
"Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala","Boni kapoor sir ini entha update illama ethum release panathinga sir, intha chinna pasanga tholla thanga mudiyala",2,,False,False,113,17
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da","Looks thrilling, thala get up super as lawyer , dai pandey neeya da",0,,False,True,67,13
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,1,,False,False,82,10
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,0,,False,True,102,13
1:43  Thala da    By thalapathy fan,1 43 Thala da By thalapathy fan,0,,False,True,31,7
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,0,,False,True,90,18
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,3,,False,False,71,9
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,0,,False,False,63,10
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Hollywood range la iruku padam Kandipa blockbuster hit! Semma story...,2,,False,True,70,10
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,0,,False,False,101,12
Semmma style... rajini sir is back...,Semmma style... rajini sir is back...,0,,False,False,37,6
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,My Dear Thala ahhh semma GETHU,0,,False,False,30,6
Idduke ₹500 va tarlam... kolla mass,Idduke 500 va tarlam... kolla mass,2,,False,True,34,6
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Movie savadi vera level poo..thalaivar thalaivar thaa..mass,0,,False,False,59,7
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,0,,False,False,88,12
92k views 132k likes  Fraud,92k views 132k likes Fraud,2,,False,False,26,5
3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,3 minute trailor vida thil irukkaa...bollywood la panranga...tamila mudiyuma???,0,,False,True,79,9
Dai ranjit nee idha parthu film eduka kathuko,Dai ranjit nee idha parthu film eduka kathuko,0,,False,False,45,8
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,0,,False,True,93,17
Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Superb Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,0,,False,False,66,8
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu...,0,,False,False,72,10
1:36 *thaa enna look-u daa saami  That bgm lit,1 36 thaa enna look-u daa saami That bgm lit,0,,False,False,44,10
Guyzz 1m likes vara varaikum vitraadheenga...,Guyzz 1m likes vara varaikum vitraadheenga...,0,,False,False,45,6
Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,3,,False,False,111,17
Velraj sir thalaivana masss a kamchirukaru vera level u,Velraj sir thalaivana masss a kamchirukaru vera level u,0,,False,False,55,9
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran u1 kaaga kandipa paakanum,2,,False,False,92,14
Iam vijay fan kerala and iam waiting super star's petta,Iam vijay fan kerala and iam waiting super star's petta,0,,False,False,55,10
Oh my god .. it's rajini for you,Oh my god .. it's rajini for you,2,,False,False,32,8
0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,0 52 thala looka apdiyae vechurkaru pa. Without audio la paata thalaikum ivrukkum vityasam teriyathu,0,,False,True,100,15
Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,0,,False,True,71,13
Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,Love u thalaivaaa avangala aarani Anastasia's Alabama and Anastasia's,2,,False,False,69,9
Iam sk fan aanaa trailer semma,Iam sk fan aanaa trailer semma,0,,False,False,30,6
Wow padam tharu mara iruka poguthu  This pongal petta diwali,Wow padam tharu mara iruka poguthu This pongal petta diwali,0,,False,False,59,10
Sema mass marana mass tha i love rajini,Sema mass marana mass tha i love rajini,0,,False,True,39,8
800k likes varavareku nanu thungamatte nenaikiravage like podunge,800k likes varavareku nanu thungamatte nenaikiravage like podunge,0,,False,False,65,8
Damn..im a proud. Chiyaan vikram fan..,Damn..im a proud. Chiyaan vikram fan..,0,,False,False,38,6
Enna panna porom sweet sapda porom....,Enna panna porom sweet sapda porom...,0,,False,False,37,6
entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,1,,False,False,58,7
Vaa thalaiva via diwali mass ur movie bikil  out,Vaa thalaiva via diwali mass ur movie bikil out,0,,False,False,47,9
Veralevel performer Dhanush sir,Veralevel performer Dhanush sir,0,,False,False,31,4
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,0,,False,False,77,11
Super akshay sir i love u sir,Super akshay sir i love u sir,0,,False,False,29,7
Looks like he will SET SCREEN ON FIRE,Looks like he will SET SCREEN ON FIRE,0,,False,False,37,8
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,3,,False,False,76,11
It's pink with ajith Kumar ka chutiyapa,It's pink with ajith Kumar ka chutiyapa,0,,False,True,39,7
Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,0,,False,True,85,12
Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,Villaina mass aa kattallayea. So sad. Villain mass aa iruntha thaa movie mass aa irukkum,0,,False,False,88,15
Trailer vera level athana Da....aamai kunjugala,Trailer vera level athana Da...aamai kunjugala,0,,False,True,46,6
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.","Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",2,,False,True,95,12
Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,0,,False,False,115,12
1:20 to 2:29 marana massssss,1 20 to 2 29 marana masss,0,,False,False,25,7
Thalapathy 64 villan ku Oru like podu,Thalapathy 64 villan ku Oru like podu,3,,False,False,37,7
No.1 trending....yellarum idha thana ketutu irundhinga,No.1 trending...yellarum idha thana ketutu irundhinga,0,,False,False,53,6
Dhanush fans hit like here.....,Dhanush fans hit like here...,0,,False,False,29,5
"E,,adicha copy da,,,ithu ellam avan seyal movie","E,,adicha copy da,,,ithu ellam avan seyal movie",1,,False,True,47,7
Like so much Thala from AP PawanKalyan Anna fans,Like so much Thala from AP PawanKalyan Anna fans,0,,False,False,48,9
"Yellaam super, but nawazudin voice mattum nalla illa.","Yellaam super, but nawazudin voice mattum nalla illa.",2,,False,False,53,8
Wow. I love you Thalaivaaaaaa.,Wow. I love you Thalaivaaa.,0,,False,False,27,5
Thala..... Kola waiting eppo yaa release panna poringa,Thala... Kola waiting eppo yaa release panna poringa,0,,False,False,52,8
Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...,Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...,0,,False,False,138,21
"Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?","Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma...?",2,,False,False,99,12
Comment box pakka vantha like podunga,Comment box pakka vantha like podunga,0,,False,False,37,6
Thalaivar varuvaru sure aa adippaaru,Thalaivar varuvaru sure aa adippaaru,2,,False,False,36,5
Who else are here after Sarkar movie?,Who else are here after Sarkar movie?,2,,False,False,37,7
Dialogues ah illama mass scenes la pesirukalaam,Dialogues ah illama mass scenes la pesirukalaam,0,,False,True,47,7
Pongal namalukku super collection ma !,Pongal namalukku super collection ma !,0,,False,True,38,6
Ennada pittalatama irruku views 51k but likes 99k va,Ennada pittalatama irruku views 51k but likes 99k va,2,,False,True,52,9
Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!,Thalaivaaa..! ippa Enna panna porom?? Sweet sapda porom...!,0,,False,False,59,8
I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....,I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat...,3,,False,True,109,16
Yuvan bgm kola mass thalaiva marana waiting for #valimai,Yuvan bgm kola mass thalaiva marana waiting for valimai,0,,False,False,55,9
Thalaivar ku ennum vaisae agala Sema,Thalaivar ku ennum vaisae agala Sema,0,,False,False,36,6
Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi,Kaithi blockbuster movie Bigil Abhi tak hit bhi nhi huvi,0,,False,False,56,10
"Ippa enna panna poram sweet sapada porom ,,,super awesome","Ippa enna panna poram sweet sapada porom ,,,super awesome",0,,False,False,57,9
Thala  U1  Yuvan Shankar Raja  Mass....,Thala U1 Yuvan Shankar Raja Mass...,0,,False,False,35,6
Shakthiman fans kill the like button,Shakthiman fans kill the like button,0,,False,False,36,6
1:53 Ant-Man ah pottu Hope pottu polakra adhe smack,1 53 Ant-Man ah pottu Hope pottu polakra adhe smack,2,,False,False,51,10
Screen Presence la ungala adichukka vera evanum illa Thala,Screen Presence la ungala adichukka vera evanum illa Thala,2,,False,True,58,9
Vera level movie & vasool NKP,Vera level movie vasool NKP,0,,False,False,27,5
Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS,Vera level acting thalaivar Mass's pakka mass sry petta masss SSS,2,,False,False,65,11
Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣,Sahoo 12 million nkp innu 9 million tha,0,,False,True,39,8
Senseless movie ..  just video game..,Senseless movie .. just video game..,2,,False,False,36,6
Thala fans saarbaaga motion poster vendum adhe,Thala fans saarbaaga motion poster vendum adhe,0,,False,False,46,7
Rajinikanth sir is my favorite Hero says ARR,Rajinikanth sir is my favorite Hero says ARR,1,,False,False,44,8
Kadaram Kondan vs Saaho.... I'm waiting....,Kadaram Kondan vs Saaho... I'm waiting...,1,,False,False,41,6
0.35 & 0.55 sec   wowwwww,0.35 0.55 sec wo,0,,False,False,16,4
Last dialogue suit for all fans,Last dialogue suit for all fans,0,,False,False,31,6
Thala fans hit like me....,Thala fans hit like me...,0,,False,False,25,5
Edho sadhi nadakudhu pa inum trending la varala,Edho sadhi nadakudhu pa inum trending la varala,1,,False,True,47,8
Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,0,,False,False,70,11
Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,2,,False,False,84,15
Dai bahubali 1 & 2.    Kelambu kelambu.,Dai bahubali 1 2. Kelambu kelambu.,2,,False,False,34,6
PINK Bollywood  But Like Ajit kumar,PINK Bollywood But Like Ajit kumar,0,,False,False,34,6
Comedy ya erukku ithukku billa pandi ok,Comedy ya erukku ithukku billa pandi ok,1,,False,False,39,7
Vs anna semma.......🤗epavum pola neega vera level.........,Vs anna semma... epavum pola neega vera level...,0,,False,False,48,8
Kk chiyan vikram in kadaram kondan best wishes,Kk chiyan vikram in kadaram kondan best wishes,0,,False,False,46,8
1:34 Enna paarva da idhu goosebumps guaranteed,1 34 Enna paarva da idhu goosebumps guaranteed,0,,False,True,46,8
Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗,Marana marana marana.. Sirapana tharamaana padam ...,0,,False,False,52,7
Thala look sema mass nu soldravanga mattum oru like podunga,Thala look sema mass nu soldravanga mattum oru like podunga,0,,False,False,59,10
Vanthathu vanthuteenga thala fans ellarum like potutu ponga,Vanthathu vanthuteenga thala fans ellarum like potutu ponga,0,,False,False,59,8
enada pandey news ah vittutu cinema la nadikuran,enada pandey news ah vittutu cinema la nadikuran,0,,False,True,48,8
Ena da bgm ithu yuvannnnnnnnnn rocksssssss,Ena da bgm ithu yuvannn rocksss,0,,False,True,31,6
1st like Vijay Fanss Hit Likes,1st like Vijay Fanss Hit Likes,0,,False,False,30,6
Ex police cop become a prisoner.,Ex police cop become a prisoner.,2,,False,False,32,6
Trailer late ah parthu miss pannavanga.... Ippo happy ah,Trailer late ah parthu miss pannavanga... Ippo happy ah,0,,False,False,55,9
Nazawuddin Siddiqui in pettai  tharamana mudivu,Nazawuddin Siddiqui in pettai tharamana mudivu,0,,False,False,46,6
Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,Oru pakkam bigil. Bigil anil kunjugalin alaparaikal,1,,False,False,51,7
Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style,Super yaru nu keta chinna kulandhai um solum... Maestro of Style,0,,False,False,64,11
Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....,Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga...,0,,False,False,75,9
Vijay sethupathi fans hit like here,Vijay sethupathi fans hit like here,0,,False,False,35,6
Aiyo enaku ipave thalaya padathula pakanumnu eruku,Aiyo enaku ipave thalaya padathula pakanumnu eruku,0,,False,False,50,7
THALAAAA  & U1 again ROCK,THALAAA U1 again ROCK,0,,False,False,21,4
Petta telugu la illea ? missing in tollywood,Petta telugu la illea ? missing in tollywood,0,,False,True,44,8
"Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki","Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki",3,,False,False,91,12
Telugu  Thala fan's hit likes,Telugu Thala fan's hit likes,0,,False,False,28,5
Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay,Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p pasangala... No bots no Visay,1,,False,False,96,19
akshay kumar as shiva kumar,akshay kumar as shiva kumar,0,,False,False,27,5
Siripu vantha oru like podunga,Siripu vantha oru like podunga,2,,False,False,30,5
Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku,Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku,1,,False,True,79,13
🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans,Maran waiting la panavendam poi saavunga Ajith fans,0,,False,True,51,8
Dhanush fans sarbaga padam vetri adiya valthukal,Dhanush fans sarbaga padam vetri adiya valthukal,0,,False,False,48,7
Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom,Sweet sappuda porom Sweet saputtu apdiye ethavthu karama Viswasam sappuduvom,0,,False,False,76,10
Pazhaya Rajinikanth ah paatha feeling pa....,Pazhaya Rajinikanth ah paatha feeling pa...,0,,False,True,43,6
Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,2,,False,False,74,11
neraya neraya neraya neraya neraya what a  performance voice Vera level.,neraya neraya neraya neraya neraya what a performance voice Vera level.,0,,False,False,71,11
Ithan diwali fight..semme kartik..story value va hero value r nu..,Ithan diwali fight..semme kartik..story value va hero value r nu..,0,,False,True,66,10
Dhanush fans oru like potutu ponga,Dhanush fans oru like potutu ponga,0,,False,False,34,6
Pink !! But like for Ajith,Pink !! But like for Ajith,0,,False,False,26,6
Beginning of satyayuga end of kaliyuga,Beginning of satyayuga end of kaliyuga,0,,False,False,38,6
Dhanush sir ku Ella get up um set aagudhu,Dhanush sir ku Ella get up um set aagudhu,0,,False,False,41,9
Inimal Sun Networkla Petta promo poda start panniduvaanga,Inimal Sun Networkla Petta promo poda start panniduvaanga,0,,False,False,57,8
neraya neraya neraya neraya neraya what a powerful voice.,neraya neraya neraya neraya neraya what a powerful voice.,0,,False,False,57,9
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....,thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi...,0,,False,False,83,8
Krish movie mask mathiri erukku pa....,Krish movie mask mathiri erukku pa...,0,,False,True,37,6
Chiyaan vikram sir vera 11,Chiyaan vikram sir vera 11,0,,False,False,26,5
Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔,Ethe maari ennamo Padam pathaa maatiye eruke,0,,False,False,44,7
thala thanta thalaiya minja evanta,thala thanta thalaiya minja evanta,0,,False,False,34,5
2.0 late a vanthalu latest  a vanthurukku,2.0 late a vanthalu latest a vanthurukku,0,,False,False,40,7
Thatha ku jodiya paatis Padam nalla irrukum pola,Thatha ku jodiya paatis Padam nalla irrukum pola,2,,False,False,48,8
1999 :padappa-vali now 2019 petta -viswasam,1999 padappa-vali now 2019 petta -viswasam,2,,False,False,42,6
Bigil satham ketta ella kaithiyum amaithithan,Bigil satham ketta ella kaithiyum amaithithan,1,,False,False,45,6
Confirm 1M likes varumnu soldravange like podunge machanzz,Confirm 1M likes varumnu soldravange like podunge machanzz,0,,False,False,58,8
Happy new year  Thalaivar padam mass kata pothu,Happy new year Thalaivar padam mass kata pothu,0,,False,False,46,8
Thala Vera Level Maas  U1 Bgm Ultimate,Thala Vera Level Maas U1 Bgm Ultimate,0,,False,False,37,7
Yenda thala enga thala ya vada dislike panni irukkenga,Yenda thala enga thala ya vada dislike panni irukkenga,2,,False,False,54,9
Dai youtube trending la podu da,Dai youtube trending la podu da,1,,False,True,31,6
sam c.s vera level ya un bgm,sam c.s vera level ya un bgm,0,,False,False,28,7
Thala vera level n yuvan bgm semmeee...,Thala vera level n yuvan bgm semmeee...,0,,False,False,39,7
Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................,Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena...,0,,False,False,90,13
Are u a virgin girls ??? Kani kazhiyama irukingala ???,Are u a virgin girls ??? Kani kazhiyama irukingala ???,2,,False,False,54,10
Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,0,,False,False,99,10
All the best Karthi and Lokesh kanakaraaj,All the best Karthi and Lokesh kanakaraaj,1,,False,False,41,7
Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....,Romba naaluku Aparam thalaivar... Sema massa pakurom... Get rajinified... ...,0,,False,False,77,10
Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom,Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la vilundarom,2,,False,True,87,13
Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,0,,False,False,75,9
Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,1,,False,False,88,12
Elam girls um trailer ah patha maari movie ya kandipaa parungaa....,Elam girls um trailer ah patha maari movie ya kandipaa parungaa...,0,,False,False,66,11
